area_id,area_name,lat,lon,elevation_m,dist_to_river_km,impervious_pct,soil_type,rainfall_mm,rain_1d_lag,rain_3d_sum,rain_7d_sum,rain_7d_max,river_level_m,river_level_lag1,river_level_change_3d,soil_moisture_pct,soil_moisture_3d_avg,base_risk_pct
A000,Mayur Vihar Ph-1,28.632187,77.131146,81,8.8,65,loam,0.6,1.2,14.5,46.0,18.0,2.81,2.75,0.15,48.2,46.0,18
A001,Kashmere Gate,28.531664,77.249803,52,9.8,78,sand,10.8,8.5,24.0,50.0,15.0,2.49,2.40,0.20,52.1,49.5,18
A002,Civil Lines,28.657579,77.210080,99,1.4,55,clay,0.3,0.5,12.0,36.0,14.0,2.84,2.80,0.10,42.0,41.0,14
A003,Dwarka Sector 8,28.609210,77.093710,24,6.3,82,loam,0.9,1.5,11.0,28.0,10.0,2.45,2.40,0.05,38.0,37.5,19
A004,Okhla Barrage Lowlands,28.428253,77.249678,8,0.7,40,clay,4.6,6.2,32.0,80.0,35.0,3.95,3.80,0.45,82.4,79.0,38
A005,Yamuna Bazar,28.692687,77.241429,15,7.5,70,sand,8.0,6.0,21.0,38.0,16.0,2.60,2.55,0.12,45.0,44.0,19
A006,Janakpuri West,28.628342,77.116244,88,5.0,85,loam,2.1,1.0,9.5,32.0,11.0,2.31,2.30,0.02,32.5,33.0,5
A007,Rohini Sector 16,28.635819,77.086498,58,2.3,74,loam,9.4,8.1,28.0,50.0,22.0,3.08,2.95,0.25,58.0,55.0,27
A008,Badarpur Border,28.438434,77.204749,24,1.6,60,clay,6.4,7.8,38.0,90.0,42.0,4.05,3.90,0.50,88.5,84.0,49
A009,Palam Village,28.535116,77.041926,63,8.9,68,sand,1.4,1.0,14.0,48.0,15.0,2.59,2.55,0.08,41.0,40.0,6
A010,Sarita Vihar,28.511239,77.059972,23,2.6,72,clay,0.6,1.8,25.0,58.0,26.0,3.38,3.25,0.30,64.0,61.0,31
A011,Nangloi Extension,28.678029,77.002209,85,13.9,62,loam,1.0,0.8,18.0,71.0,30.0,3.28,3.20,0.18,49.0,48.0,16
A012,Geeta Colony,28.593160,77.236077,56,8.8,80,loam,26.8,18.0,45.0,69.0,28.0,3.20,3.10,0.22,62.0,59.0,21
A013,Laxmi Nagar,28.646828,77.199455,49,5.3,88,loam,7.2,5.5,35.0,94.0,36.0,3.05,2.95,0.20,60.5,58.0,22
A014,Saket District,28.533024,77.211550,40,8.9,76,sand,5.5,4.0,12.0,35.0,14.0,2.53,2.50,0.05,36.0,35.0,7
A015,Kalindi Kunj Bank,28.468172,77.234219,77,0.4,35,clay,1.5,4.0,65.0,195.0,75.0,4.01,3.90,0.55,92.0,89.0,39
A016,Vasant Kunj Ridge,28.566375,77.137675,47,14.4,50,loam,6.9,4.2,15.0,37.0,13.0,2.48,2.45,0.04,34.0,33.5,7
A017,Tughlakabad Fort,28.419145,77.170622,15,7.3,58,sand,13.8,10.0,26.0,50.0,20.0,2.42,2.40,0.06,53.0,51.0,24
A018,Uttam Nagar East,28.648289,77.041939,19,11.8,92,loam,28.4,22.0,48.0,77.0,32.0,3.35,3.20,0.32,71.0,68.0,37
A019,Bijwasan Station,28.589499,77.034359,116,1.3,45,clay,3.7,2.5,19.0,57.0,22.0,3.21,3.15,0.15,48.0,47.0,13
A020,Connaught Place,28.627426,77.200521,109,7.4,90,loam,0.9,1.1,16.0,41.0,17.0,2.64,2.60,0.08,44.0,43.0,13
A021,Hauz Khas Enclave,28.506358,77.141329,85,7.4,75,loam,11.9,8.5,15.0,36.0,16.0,2.52,2.50,0.05,39.0,38.5,8
A022,Model Town,28.691209,77.169571,36,14.1,81,sand,14.9,12.0,22.0,53.0,21.0,2.84,2.80,0.10,46.0,45.0,12
